TractFIPS,variable,value,year
13121008902,BINGE_CrudePrev,25.6,2020
13121008903,BINGE_CrudePrev,22.4,2020
13121008904,BINGE_CrudePrev,23.7,2020
13121009000,BINGE_CrudePrev,25.3,2020
13121009101,BINGE_CrudePrev,23.8,2020
13121009102,BINGE_CrudePrev,22.3,2020
13121009200,BINGE_CrudePrev,23.8,2020
13121009300,BINGE_CrudePrev,23.4,2020
13121009402,BINGE_CrudePrev,25.7,2020
13121009403,BINGE_CrudePrev,22.6,2020
13121009404,BINGE_CrudePrev,22.9,2020
13121009501,BINGE_CrudePrev,17.7,2020
13121009502,BINGE_CrudePrev,18.1,2020
13121009601,BINGE_CrudePrev,26.6,2020
13121009602,BINGE_CrudePrev,20.6,2020
13121009603,BINGE_CrudePrev,23.9,2020
13121009700,BINGE_CrudePrev,18.9,2020
13121009801,BINGE_CrudePrev,17.0,2020
13121009802,BINGE_CrudePrev,19.7,2020
13121009900,BINGE_CrudePrev,22.1,2020
13121010001,BINGE_CrudePrev,21.8,2020
13121010002,BINGE_CrudePrev,20.9,2020
13121010114,BINGE_CrudePrev,22.0,2020
13121010211,BINGE_CrudePrev,22.1,2020
13121010303,BINGE_CrudePrev,15.2,2020
13121011800,BINGE_CrudePrev,18.7,2020
13121011900,BINGE_CrudePrev,19.6,2020
13121012000,BINGE_CrudePrev,14.1,2020
13089020100,BPHIGH_CrudePrev,21.8,2020
13089020200,BPHIGH_CrudePrev,21.2,2020
13089020300,BPHIGH_CrudePrev,20.6,2020
13089020400,BPHIGH_CrudePrev,17.6,2020
13089020500,BPHIGH_CrudePrev,32.8,2020
13089020600,BPHIGH_CrudePrev,28.2,2020
13089020700,BPHIGH_CrudePrev,29.5,2020
13089020801,BPHIGH_CrudePrev,29.3,2020
13089020802,BPHIGH_CrudePrev,34.8,2020
13089020900,BPHIGH_CrudePrev,31.9,2020
13089023700,BPHIGH_CrudePrev,37.8,2020
13121000100,BPHIGH_CrudePrev,21.3,2020
13121000200,BPHIGH_CrudePrev,20.8,2020
13121000400,BPHIGH_CrudePrev,23.2,2020
13121000500,BPHIGH_CrudePrev,18.7,2020
13121000600,BPHIGH_CrudePrev,14.4,2020
13121000700,BPHIGH_CrudePrev,28.0,2020
13121001001,BPHIGH_CrudePrev,12.4,2020
13121001002,BPHIGH_CrudePrev,9.4,2020
13121001100,BPHIGH_CrudePrev,19.2,2020
13121001201,BPHIGH_CrudePrev,18.6,2020
13121001202,BPHIGH_CrudePrev,15.4,2020
13121001300,BPHIGH_CrudePrev,19.0,2020
13121001400,BPHIGH_CrudePrev,15.8,2020
13121001500,BPHIGH_CrudePrev,20.3,2020
13121001600,BPHIGH_CrudePrev,15.2,2020
13121001700,BPHIGH_CrudePrev,24.1,2020
13121001800,BPHIGH_CrudePrev,30.8,2020
13121001900,BPHIGH_CrudePrev,20.6,2020
13121002100,BPHIGH_CrudePrev,35.3,2020
13121002300,BPHIGH_CrudePrev,49.1,2020
13121002400,BPHIGH_CrudePrev,46.0,2020
