TractFIPS,interDen,sidewalkDen,stopDen,aadt_sum_2017,aadt_avg_2017,ht_ami_2017,h_ami_2017,t_ami_2017,co2_hh_2017,autos_hh_ami_2017,vmt_hh_ami_2017,transit_trips_ami_2017,inter_ct,blk_avg_sqmi,sidewalk_sum_ft,stop_ct,area_sqmi
13121001001,36.00078152,32.33751811,36.00078152,1197060,149632.5,53,35,17,5.54,1.26,15881,748,70,0.00546294,61655.50966,13,0.361103272
13121001201,54.77616303,43.36428522,54.77616303,27700,13850,42,26,16,4.9,1.22,13757,571,62,0.00360002,50159.77901,12,0.219073395
13121007603,25.46053143,0.168728348,25.46053143,56170,14042.5,33,16,18,4.79,1.36,15369,500,22,0.12807341,1084.716054,31,1.217570815
13121007604,27.77649659,0,27.77649659,77850,25950,36,17,18,5.48,1.41,16560,358,12,0.05401494,0,12,0.432019926
13121007703,21.71816156,0,21.71816156,89600,12800,47,25,22,8.13,1.75,20786,153,110,0.05120191,0,38,1.749687693
13121008903,22.33494814,1.750523006,22.33494814,70260,17565,45,25,20,8.31,1.52,18431,352,20,0.04723143,4138.249372,10,0.447728821
13121007704,24.25906646,0,24.25906646,259680,18548.57143,46,24,21,8.04,1.69,20042,182,134,0.06042874,0,64,2.638188906
13121007705,24.15835927,0,24.15835927,76050,7605,37,18,19,6.21,1.49,17627,265,51,0.06516616,0,31,1.283199726
13121007706,14.54702606,0,14.54702606,272220,19444.28571,44,24,20,6.82,1.57,18646,177,232,0.12164417,0,75,5.155692972
13121008904,12.67465512,0.232468935,12.67465512,12970,6485,53,33,20,6.61,1.61,18842,200,64,0.12256812,1452.626017,15,1.183464154
13121009101,19.57253711,3.196317818,19.57253711,45870,22935,47,30,18,5.16,1.4,16108,369,50,0.04436431,11209.33804,13,0.664195956
13121009102,25.74510182,0.724391392,25.74510182,44100,44100,50,32,18,5.33,1.39,15745,401,22,0.05428833,2377.017797,16,0.621477441
13121008700,24.60686574,1.440223404,24.60686574,29600,4228.571429,37,18,20,6.52,1.56,18154,212,160,0.08377052,22868.57311,74,3.007290761
13121009501,6.291476984,0.003809137,6.291476984,19340,6446.666667,97,76,22,7.39,1.73,19349,155,132,0.05087794,35.16417684,11,1.748397082
