housing_total,housing_pc_vacant,housing_pc_owneroccupied,housing_pc_renteroccupied,housing_medval,housing_medgrossrent,housing_pc_renttoinc_3034,housing_pc_renttoinc_over35,TractFIPS
2363.0,2.2,46.6,53.4,147400.0,1028.0,8.6,59.9,13089023213
2618.0,8.5,38.0,62.0,134200.0,1065.0,7.9,45.1,13089023214
0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13089023115
1601.0,3.4,81.1,18.9,177900.0,1536.0,0.0,52.7,13089023311
3682.0,3.8,72.6,27.4,169700.0,1261.0,4.5,31.6,13089023312
1761.0,6.5,72.7,27.3,118600.0,1378.0,3.1,57.3,13089023313
2383.0,7.1,64.4,35.6,100800.0,1202.0,18.4,20.8,13089023314
2053.0,15.4,64.7,35.3,359100.0,857.0,7.6,30.5,13089020802
1845.0,4.4,92.1,7.9,451400.0,1381.0,29.2,33.1,13089021703
1751.0,6.7,69.5,30.5,308100.0,1378.0,5.6,56.5,13089021808
2387.0,15.3,33.7,66.3,171000.0,938.0,12.6,40.7,13089021908
3101.0,13.1,31.4,68.6,127700.0,1019.0,10.6,54.3,13089021909
3547.0,5.4,75.4,24.6,452600.0,1677.0,10.5,35.2,13089021202
1192.0,8.3,64.0,36.0,116000.0,1173.0,9.9,64.2,13089023505
1601.0,9.4,89.3,10.7,732900.0,1339.0,0.0,11.0,13089022403
1751.0,13.1,64.5,35.5,97900.0,1218.0,3.8,48.2,13089023507
2276.0,10.6,66.5,33.5,143600.0,1269.0,3.1,51.9,13089023803
1725.0,2.9,75.5,24.5,574400.0,1302.0,8.9,13.0,13089020300
1170.0,17.7,47.1,52.9,276100.0,1179.0,5.6,59.6,13089020600
586.0,11.9,2.3,97.7,-666666666.0,1307.0,8.1,65.9,13121001002
4068.0,16.1,47.5,52.5,281200.0,1381.0,5.7,36.4,13121001202
1371.0,25.6,43.4,56.6,360900.0,1851.0,6.7,31.1,13121001001
2922.0,1.2,24.8,75.2,307200.0,1471.0,9.1,33.7,13121001201
2679.0,17.4,6.3,93.7,-666666666.0,729.0,7.5,64.7,13121007603
1541.0,32.9,14.2,85.8,85000.0,812.0,6.4,65.3,13121007604
1855.0,13.7,59.0,41.0,110400.0,1013.0,14.8,54.3,13121007703
1509.0,29.9,44.1,55.9,260700.0,924.0,11.1,51.7,13121012300
0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13121980000
912.0,3.9,41.6,58.4,207600.0,1344.0,13.5,24.6,13121008903
2498.0,17.6,42.6,57.4,150100.0,930.0,22.5,50.8,13121007704
2244.0,21.0,22.6,77.4,107600.0,929.0,12.9,55.1,13121007705
4880.0,11.0,29.1,70.9,190100.0,1079.0,11.4,40.4,13121007706
2916.0,11.6,63.6,36.4,248300.0,1334.0,13.3,32.3,13121008904
4041.0,14.3,42.8,57.2,312700.0,1520.0,6.2,20.5,13121009101
2376.0,19.9,39.5,60.5,348700.0,1144.0,11.1,32.8,13121009102
